,region,EWCL,dept,perspective,value
109,河南,Energy,Transport,生产视角,8.710137525573481
110,河南,Energy,Services,生产视角,1.1352714082596345
111,河南,Energy,Others,生产视角,81.47486960426694
112,湖北,Energy,Agriculture,生产视角,3.053530352735477
113,湖北,Energy,Food&tabacco,生产视角,2.027480093267402
114,湖北,Energy,"Electricity, Gas &Water",生产视角,48.145156369682226
115,湖北,Energy,Construction,生产视角,2.501386749429913
116,湖北,Energy,Transport,生产视角,12.147259844525866
117,湖北,Energy,Services,生产视角,7.633715914918139
118,湖北,Energy,Others,生产视角,47.120386417186836
119,湖南,Energy,Agriculture,生产视角,3.6040520572577313
120,湖南,Energy,Food&tabacco,生产视角,1.0022976950954248
121,湖南,Energy,"Electricity, Gas &Water",生产视角,38.387807964686914
122,湖南,Energy,Construction,生产视角,2.663512762278533
123,湖南,Energy,Transport,生产视角,8.435323148055197
124,湖南,Energy,Services,生产视角,6.412979642252642
125,湖南,Energy,Others,生产视角,42.425277733020124
126,广东,Energy,Agriculture,生产视角,1.8293304851915888
127,广东,Energy,Food&tabacco,生产视角,1.9771187443917362
128,广东,Energy,"Electricity, Gas &Water",生产视角,108.552128402715
129,广东,Energy,Construction,生产视角,1.115159569616675
130,广东,Energy,Transport,生产视角,25.277905627394816
131,广东,Energy,Services,生产视角,5.1032387707534435
132,广东,Energy,Others,生产视角,54.45095791495351
133,广西,Energy,Agriculture,生产视角,0.5692508430798495
134,广西,Energy,Food&tabacco,生产视角,3.8801062272748457
135,广西,Energy,"Electricity, Gas &Water",生产视角,26.922877061420074
136,广西,Energy,Construction,生产视角,0.05808482582666954
137,广西,Energy,Transport,生产视角,7.066982095523679
138,广西,Energy,Services,生产视角,2.0515531362750474
139,广西,Energy,Others,生产视角,27.707900242403262
140,海南,Energy,Agriculture,生产视角,0.8223397320247396
141,海南,Energy,Food&tabacco,生产视角,0.03482967614344087
142,海南,Energy,"Electricity, Gas &Water",生产视角,6.249243189199617
143,海南,Energy,Construction,生产视角,0.1254357881655975
144,海南,Energy,Transport,生产视角,2.8827904034487335
145,海南,Energy,Services,生产视角,0.47605190861450025
146,海南,Energy,Others,生产视角,3.028697071628241
147,重庆,Energy,Agriculture,生产视角,2.485952274650436
148,重庆,Energy,Food&tabacco,生产视角,0.33337001657440185
149,重庆,Energy,"Electricity, Gas &Water",生产视角,20.01690641119435
150,重庆,Energy,Construction,生产视角,0.6356063209987656
151,重庆,Energy,Transport,生产视角,5.647767699842493
152,重庆,Energy,Services,生产视角,1.54669862752445
153,重庆,Energy,Others,生产视角,28.86516892020269
154,四川,Energy,Agriculture,生产视角,2.112220103250055
155,四川,Energy,Food&tabacco,生产视角,1.887349451359111
156,四川,Energy,"Electricity, Gas &Water",生产视角,30.59194904332371
157,四川,Energy,Construction,生产视角,1.3642938677989238
158,四川,Energy,Transport,生产视角,10.06181498665497
159,四川,Energy,Services,生产视角,4.955043096177877
160,四川,Energy,Others,生产视角,67.87760004429327
161,贵州,Energy,Agriculture,生产视角,1.1144875650350339
162,贵州,Energy,Food&tabacco,生产视角,0.14564828113888859
163,贵州,Energy,"Electricity, Gas &Water",生产视角,42.480468600036865
164,贵州,Energy,Construction,生产视角,0.4509453368637644
165,贵州,Energy,Transport,生产视角,4.599378445261963
166,贵州,Energy,Services,生产视角,8.694628173108052
167,贵州,Energy,Others,生产视角,16.14267516537032
168,云南,Energy,Agriculture,生产视角,1.9928701107038298
169,云南,Energy,Food&tabacco,生产视角,0.9054010111396216
170,云南,Energy,"Electricity, Gas &Water",生产视角,31.54217493951895
171,云南,Energy,Construction,生产视角,0.9618155897750181
172,云南,Energy,Transport,生产视角,8.373644022909918
173,云南,Energy,Services,生产视角,1.543405597357124
174,云南,Energy,Others,生产视角,30.819028419025297
175,陕西,Energy,Agriculture,生产视角,0.8302946546958457
176,陕西,Energy,Food&tabacco,生产视角,0.2984265633840378
177,陕西,Energy,"Electricity, Gas &Water",生产视角,45.34866267511436
178,陕西,Energy,Construction,生产视角,1.084213605974721
179,陕西,Energy,Transport,生产视角,8.532279918759269
180,陕西,Energy,Services,生产视角,4.500750641386001
181,陕西,Energy,Others,生产视角,23.00864728270703
182,甘肃,Energy,Agriculture,生产视角,0.8803863704844069
183,甘肃,Energy,Food&tabacco,生产视角,0.1816845140773941
184,甘肃,Energy,"Electricity, Gas &Water",生产视角,27.520557264472703
185,甘肃,Energy,Construction,生产视角,0.5147341300316827
186,甘肃,Energy,Transport,生产视角,2.888156284360509
187,甘肃,Energy,Services,生产视角,0.7648082052055653
188,甘肃,Energy,Others,生产视角,18.184738242920254
189,青海,Energy,Agriculture,生产视角,0.1477101780467821
190,青海,Energy,Food&tabacco,生产视角,0.017030631856474847
191,青海,Energy,"Electricity, Gas &Water",生产视角,4.4110291245465305
192,青海,Energy,Construction,生产视角,0.1531304882996356
193,青海,Energy,Transport,生产视角,1.09647719529959
194,青海,Energy,Services,生产视角,1.2666531818152906
