,region,EWCL,perspective,value
117,青海,Energy,本地（消费视角）,5.702495
118,宁夏,Energy,本地（消费视角）,18.94632
119,新疆,Energy,本地（消费视角）,39.72492
120,北京,Energy,国内（消费视角）,47.84881
121,天津,Energy,国内（消费视角）,52.8049
122,河北,Energy,国内（消费视角）,77.48955
123,山西,Energy,国内（消费视角）,24.3439
124,内蒙古,Energy,国内（消费视角）,39.4764
125,辽宁,Energy,国内（消费视角）,42.35345
126,吉林,Energy,国内（消费视角）,62.33879
127,黑龙江,Energy,国内（消费视角）,41.45219
128,上海,Energy,国内（消费视角）,69.19132
129,江苏,Energy,国内（消费视角）,85.89043
130,浙江,Energy,国内（消费视角）,78.12674
131,安徽,Energy,国内（消费视角）,33.29759
132,福建,Energy,国内（消费视角）,24.36844
133,江西,Energy,国内（消费视角）,29.48206
134,山东,Energy,国内（消费视角）,74.19697
135,河南,Energy,国内（消费视角）,66.81404
136,湖北,Energy,国内（消费视角）,20.37432
137,湖南,Energy,国内（消费视角）,30.52509
138,广东,Energy,国内（消费视角）,89.45264
139,广西,Energy,国内（消费视角）,27.59677
140,海南,Energy,国内（消费视角）,2.307384
141,重庆,Energy,国内（消费视角）,19.70238
142,四川,Energy,国内（消费视角）,22.91852
143,贵州,Energy,国内（消费视角）,14.92252
144,云南,Energy,国内（消费视角）,25.04976
145,陕西,Energy,国内（消费视角）,43.35295
146,甘肃,Energy,国内（消费视角）,12.4753
147,青海,Energy,国内（消费视角）,7.113937
148,宁夏,Energy,国内（消费视角）,9.222499
149,新疆,Energy,国内（消费视角）,19.01477
150,北京,Energy,国际（消费视角）,17.34933
151,天津,Energy,国际（消费视角）,14.07226
152,河北,Energy,国际（消费视角）,22.46436
153,山西,Energy,国际（消费视角）,10.97094
154,内蒙古,Energy,国际（消费视角）,14.18587
155,辽宁,Energy,国际（消费视角）,22.58487
156,吉林,Energy,国际（消费视角）,12.77871
157,黑龙江,Energy,国际（消费视角）,12.55204
158,上海,Energy,国际（消费视角）,21.29408
159,江苏,Energy,国际（消费视角）,46.75878
160,浙江,Energy,国际（消费视角）,31.78574
161,安徽,Energy,国际（消费视角）,14.85019
162,福建,Energy,国际（消费视角）,15.35642
163,江西,Energy,国际（消费视角）,11.74668
164,山东,Energy,国际（消费视角）,57.37987
165,河南,Energy,国际（消费视角）,31.4657
166,湖北,Energy,国际（消费视角）,15.24043
167,湖南,Energy,国际（消费视角）,15.71412
168,广东,Energy,国际（消费视角）,42.48376
169,广西,Energy,国际（消费视角）,12.56397
170,海南,Energy,国际（消费视角）,2.106851
171,重庆,Energy,国际（消费视角）,8.308981
172,四川,Energy,国际（消费视角）,18.52334
173,贵州,Energy,国际（消费视角）,5.355981
174,云南,Energy,国际（消费视角）,10.66075
