,region,EWCL,perspective,value
11,安徽,CO2,国际（生产视角）,39.36578
12,福建,CO2,国际（生产视角）,53.16661
13,江西,CO2,国际（生产视角）,29.50722
14,山东,CO2,国际（生产视角）,163.8587
15,河南,CO2,国际（生产视角）,75.96026
16,湖北,CO2,国际（生产视角）,49.84063
17,湖南,CO2,国际（生产视角）,39.16851
18,广东,CO2,国际（生产视角）,156.2831
19,广西,CO2,国际（生产视角）,28.70284
20,海南,CO2,国际（生产视角）,4.451675
21,重庆,CO2,国际（生产视角）,17.74585
22,四川,CO2,国际（生产视角）,41.2365
23,贵州,CO2,国际（生产视角）,29.3093
24,云南,CO2,国际（生产视角）,40.83538
25,陕西,CO2,国际（生产视角）,31.91629
26,甘肃,CO2,国际（生产视角）,16.21146
27,青海,CO2,国际（生产视角）,5.017075
28,宁夏,CO2,国际（生产视角）,12.77465
29,新疆,CO2,国际（生产视角）,27.90778
30,北京,CO2,国内（生产视角）,29.03173
31,天津,CO2,国内（生产视角）,69.23548
32,河北,CO2,国内（生产视角）,331.1196
33,山西,CO2,国内（生产视角）,196.3305
34,内蒙古,CO2,国内（生产视角）,292.7083
35,辽宁,CO2,国内（生产视角）,164.4632
36,吉林,CO2,国内（生产视角）,111.5763
37,黑龙江,CO2,国内（生产视角）,108.8935
38,上海,CO2,国内（生产视角）,71.07852
39,江苏,CO2,国内（生产视角）,201.5413
40,浙江,CO2,国内（生产视角）,100.9397
41,安徽,CO2,国内（生产视角）,124.4418
42,福建,CO2,国内（生产视角）,39.27169
43,江西,CO2,国内（生产视角）,54.53094
44,山东,CO2,国内（生产视角）,220.6872
45,河南,CO2,国内（生产视角）,262.8072
46,湖北,CO2,国内（生产视角）,107.3052
47,湖南,CO2,国内（生产视角）,100.2696
48,广东,CO2,国内（生产视角）,131.3005
49,广西,CO2,国内（生产视角）,63.31123
50,海南,CO2,国内（生产视角）,8.533922
51,重庆,CO2,国内（生产视角）,53.39314
52,四川,CO2,国内（生产视角）,103.7191
53,贵州,CO2,国内（生产视角）,102.4493
54,云南,CO2,国内（生产视角）,73.6978
55,陕西,CO2,国内（生产视角）,99.79658
56,甘肃,CO2,国内（生产视角）,54.37542
57,青海,CO2,国内（生产视角）,13.29202
58,宁夏,CO2,国内（生产视角）,40.43841
59,新疆,CO2,国内（生产视角）,54.6851
60,北京,CO2,本地（生产视角）,50.4859
61,天津,CO2,本地（生产视角）,59.45064
62,河北,CO2,本地（生产视角）,239.7508
63,山西,CO2,本地（生产视角）,182.2396
64,内蒙古,CO2,本地（生产视角）,187.6389
65,辽宁,CO2,本地（生产视角）,238.7988
66,吉林,CO2,本地（生产视角）,103.3764
67,黑龙江,CO2,本地（生产视角）,119.0669
68,上海,CO2,本地（生产视角）,89.51628
69,江苏,CO2,本地（生产视角）,229.9478
70,浙江,CO2,本地（生产视角）,154.8592
71,安徽,CO2,本地（生产视角）,126.9439
72,福建,CO2,本地（生产视角）,131.4938
73,江西,CO2,本地（生产视角）,97.60132
74,山东,CO2,本地（生产视角）,431.5651
75,河南,CO2,本地（生产视角）,245.2037
76,湖北,CO2,本地（生产视角）,208.759
77,湖南,CO2,本地（生产视角）,183.6245
78,广东,CO2,本地（生产视角）,242.9728
79,广西,CO2,本地（生产视角）,112.3348
80,海南,CO2,本地（生产视角）,24.04195
81,重庆,CO2,本地（生产视角）,91.43357
82,四川,CO2,本地（生产视角）,202.2055
83,贵州,CO2,本地（生产视角）,96.40082
84,云南,CO2,本地（生产视角）,126.6272
85,陕西,CO2,本地（生产视角）,106.3907
86,甘肃,CO2,本地（生产视角）,78.26519
87,青海,CO2,本地（生产视角）,29.05754
88,宁夏,CO2,本地（生产视角）,54.96876
89,新疆,CO2,本地（生产视角）,117.2259
90,北京,CO2,本地（消费视角）,50.4859
91,天津,CO2,本地（消费视角）,59.45064
92,河北,CO2,本地（消费视角）,239.7508
93,山西,CO2,本地（消费视角）,182.2396
94,内蒙古,CO2,本地（消费视角）,187.6389
95,辽宁,CO2,本地（消费视角）,238.7988
96,吉林,CO2,本地（消费视角）,103.3764
97,黑龙江,CO2,本地（消费视角）,119.0669
98,上海,CO2,本地（消费视角）,89.51628
99,江苏,CO2,本地（消费视角）,229.9478
100,浙江,CO2,本地（消费视角）,154.8592
101,安徽,CO2,本地（消费视角）,126.9439
102,福建,CO2,本地（消费视角）,131.4938
103,江西,CO2,本地（消费视角）,97.60132
104,山东,CO2,本地（消费视角）,431.5651
105,河南,CO2,本地（消费视角）,245.2037
106,湖北,CO2,本地（消费视角）,208.759
107,湖南,CO2,本地（消费视角）,183.6245
108,广东,CO2,本地（消费视角）,242.9728
109,广西,CO2,本地（消费视角）,112.3348
110,海南,CO2,本地（消费视角）,24.04195
111,重庆,CO2,本地（消费视角）,91.43357
112,四川,CO2,本地（消费视角）,202.2055
113,贵州,CO2,本地（消费视角）,96.40082
114,云南,CO2,本地（消费视角）,126.6272
115,陕西,CO2,本地（消费视角）,106.3907
116,甘肃,CO2,本地（消费视角）,78.26519
117,青海,CO2,本地（消费视角）,29.05754
118,宁夏,CO2,本地（消费视角）,54.96876
119,新疆,CO2,本地（消费视角）,117.2259
120,北京,CO2,国内（消费视角）,136.5877
121,天津,CO2,国内（消费视角）,146.5407
122,河北,CO2,国内（消费视角）,214.4485
123,山西,CO2,国内（消费视角）,70.05087
124,内蒙古,CO2,国内（消费视角）,106.6422
125,辽宁,CO2,国内（消费视角）,118.7285
126,吉林,CO2,国内（消费视角）,172.8799
127,黑龙江,CO2,国内（消费视角）,113.2562
128,上海,CO2,国内（消费视角）,207.0078
129,江苏,CO2,国内（消费视角）,242.6478
130,浙江,CO2,国内（消费视角）,217.684
131,安徽,CO2,国内（消费视角）,93.01884
132,福建,CO2,国内（消费视角）,69.28084
133,江西,CO2,国内（消费视角）,83.86534
134,山东,CO2,国内（消费视角）,220.3956
135,河南,CO2,国内（消费视角）,185.6916
136,湖北,CO2,国内（消费视角）,61.81794
137,湖南,CO2,国内（消费视角）,85.14843
138,广东,CO2,国内（消费视角）,256.4931
139,广西,CO2,国内（消费视角）,81.19084
140,海南,CO2,国内（消费视角）,6.589501
141,重庆,CO2,国内（消费视角）,57.4429
142,四川,CO2,国内（消费视角）,66.4987
143,贵州,CO2,国内（消费视角）,41.5454
144,云南,CO2,国内（消费视角）,70.09142
145,陕西,CO2,国内（消费视角）,126.4852
146,甘肃,CO2,国内（消费视角）,35.76429
147,青海,CO2,国内（消费视角）,20.55501
148,宁夏,CO2,国内（消费视角）,24.77145
149,新疆,CO2,国内（消费视角）,52.10379
150,北京,CO2,国际（消费视角）,23.2411
151,天津,CO2,国际（消费视角）,19.61404
152,河北,CO2,国际（消费视角）,32.95362
153,山西,CO2,国际（消费视角）,15.73878
154,内蒙古,CO2,国际（消费视角）,20.49904
155,辽宁,CO2,国际（消费视角）,33.30184
156,吉林,CO2,国际（消费视角）,18.58366
157,黑龙江,CO2,国际（消费视角）,18.10246
158,上海,CO2,国际（消费视角）,29.11509
159,江苏,CO2,国际（消费视角）,65.92911
160,浙江,CO2,国际（消费视角）,45.42934
161,安徽,CO2,国际（消费视角）,21.2649
162,福建,CO2,国际（消费视角）,22.38182
163,江西,CO2,国际（消费视角）,17.8775
164,山东,CO2,国际（消费视角）,86.14557
165,河南,CO2,国际（消费视角）,46.91547
166,湖北,CO2,国际（消费视角）,23.17882
167,湖南,CO2,国际（消费视角）,23.20688
168,广东,CO2,国际（消费视角）,60.28787
169,广西,CO2,国际（消费视角）,19.3035
170,海南,CO2,国际（消费视角）,3.124106
171,重庆,CO2,国际（消费视角）,12.02952
172,四川,CO2,国际（消费视角）,28.26959
173,贵州,CO2,国际（消费视角）,7.29891
174,云南,CO2,国际（消费视角）,15.34412
175,陕西,CO2,国际（消费视角）,19.8315
176,甘肃,CO2,国际（消费视角）,6.829424
177,青海,CO2,国际（消费视角）,2.289109
178,宁夏,CO2,国际（消费视角）,3.988564
179,新疆,CO2,国际（消费视角）,10.00976
